sensorMov,hora,dia,dia_semana,sensorLDR,lamp
0,00:56:44,21-09-18,5,744[59],lamp
0,00:56:45,21-09-18,5,749[60],lamp
0,00:56:45,21-09-18,5,747[61],lamp
0,00:56:46,21-09-18,5,746[62],lamp
0,00:56:46,21-09-18,5,748[63],lamp
0,00:56:47,21-09-18,5,746[64],lamp
1,00:56:47,21-09-18,5,747[65],lamp
1,00:56:48,21-09-18,5,746[66],lamp
0,00:56:48,21-09-18,5,744[67],lamp
0,00:56:49,21-09-18,5,745[68],lamp
0,00:56:49,21-09-18,5,745[69],lamp
0,00:56:50,21-09-18,5,740[70],lamp
0,00:56:50,21-09-18,5,747[71],lamp
0,00:56:51,21-09-18,5,747[72],lamp
0,00:56:51,21-09-18,5,743[73],lamp
0,00:56:52,21-09-18,5,748[74],lamp
0,00:56:52,21-09-18,5,746[75],lamp
0,00:56:53,21-09-18,5,738[76],lamp
1,00:56:53,21-09-18,5,749[77],lamp
1,00:56:54,21-09-18,5,746[78],lamp
1,00:56:54,21-09-18,5,740[79],lamp
0,00:57:09,21-09-18,5,749,lamp
0,00:57:10,21-09-18,5,744,lamp
0,00:57:10,21-09-18,5,744,lamp
0,00:57:11,21-09-18,5,742,lamp
0,00:57:11,21-09-18,5,746,lamp
0,00:57:12,21-09-18,5,748,lamp
0,00:57:12,21-09-18,5,747,lamp
0,00:57:13,21-09-18,5,744,lamp
0,00:57:13,21-09-18,5,740,lamp
0,00:57:14,21-09-18,5,744,lamp
0,00:57:14,21-09-18,5,748,lamp
0,00:57:15,21-09-18,5,745,lamp
0,00:57:15,21-09-18,5,749,lamp
0,00:57:16,21-09-18,5,741,lamp
1,00:57:16,21-09-18,5,742,lamp
1,00:57:17,21-09-18,5,745,lamp
1,00:57:17,21-09-18,5,747,lamp
1,00:57:18,21-09-18,5,749,lamp
0,00:57:18,21-09-18,5,745,lamp
0,00:57:19,21-09-18,5,742,lamp
1,00:57:19,21-09-18,5,743,lamp
1,00:57:20,21-09-18,5,746,lamp
1,00:57:20,21-09-18,5,750,lamp
1,00:57:21,21-09-18,5,746,lamp
1,00:57:21,21-09-18,5,744,lamp
1,00:57:22,21-09-18,5,742,lamp
1,00:57:22,21-09-18,5,747,lamp
1,00:57:23,21-09-18,5,749,lamp
0,00:57:23,21-09-18,5,746,lamp
0,00:57:24,21-09-18,5,745,lamp
0,00:57:24,21-09-18,5,744,lamp
0,00:57:25,21-09-18,5,747,lamp
0,00:57:25,21-09-18,5,747,lamp
0,00:57:26,21-09-18,5,747,lamp
1,00:57:26,21-09-18,5,746,lamp
1,00:57:27,21-09-18,5,743,lamp
1,00:57:27,21-09-18,5,746,lamp
0,00:57:28,21-09-18,5,746,lamp
0,00:57:28,21-09-18,5,747,lamp
0,00:57:29,21-09-18,5,747,lamp
0,00:57:29,21-09-18,5,741,lamp
0,00:57:30,21-09-18,5,746,lamp
0,00:57:30,21-09-18,5,748,lamp
1,00:57:31,21-09-18,5,746,lamp
1,00:57:31,21-09-18,5,744,lamp
0,00:57:32,21-09-18,5,741,lamp
0,00:57:32,21-09-18,5,745,lamp
0,00:57:33,21-09-18,5,747,lamp
0,00:57:33,21-09-18,5,746,lamp
0,00:57:34,21-09-18,5,746,lamp
0,00:57:34,21-09-18,5,742,lamp
1,00:57:35,21-09-18,5,745,lamp
1,00:57:35,21-09-18,5,744,lamp
1,00:57:36,21-09-18,5,747,lamp
0,00:57:36,21-09-18,5,745,lamp
0,00:57:37,21-09-18,5,743,lamp
0,00:57:37,21-09-18,5,744,lamp
0,00:57:38,21-09-18,5,747,lamp
0,00:57:38,21-09-18,5,747,lamp
0,00:57:39,21-09-18,5,745,lamp
0,00:57:39,21-09-18,5,738,lamp
0,00:57:40,21-09-18,5,744,lamp
0,00:57:40,21-09-18,5,748,lamp
0,00:57:41,21-09-18,5,749,lamp
0,00:57:41,21-09-18,5,744,lamp
0,00:57:42,21-09-18,5,743,lamp
0,00:57:43,21-09-18,5,743,lamp
0,00:57:43,21-09-18,5,748,lamp
0,00:57:44,21-09-18,5,747,lamp
0,00:57:44,21-09-18,5,743,lamp
0,00:57:45,21-09-18,5,742,lamp
